	Batf	Irf4	Maf	Stat3	Rorc	Fosl2	Nfe2l2	Hif1a	Ikzf3	Etv6	Kdm6b	Jmjd6	Id2	Ski	Lef1	Atf6	Trib3	Sirt2	Prkrir	Satb1	Nfatc2	Crem	Ddit3	Aes	Inhba	Zfp36l2	Egr2	Bcl11b
0610007c21rik	0	0	0	0	0	0.914731218439	0	0	0	0	0	0	0.915781634085	0	0	0.97873338815	0.968422955887	0	0	0	0	0	0	0	0	0	0	0
0610007l01rik	0	0	0	0	0	0	0	0	-0.887780143257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007p08rik	0	0	-0.939524713433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.980110746384
0610007p14rik	0	0.982792986323	0	0.962494995458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007p22rik	0	0	0	0	0	0	0	0.920835683136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009b22rik	0	0	0	0	0	0	-0.938040753831	0	0	0	0	0	0.885151686046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009d07rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.966099650771	0	-0.939965182008	0
0610009o20rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.901959036423
0610010k14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.866321694097	0	0	0	0	0	0	0	0	0	0	0
0610011f06rik	0	0	0	0	0	0	0	0	0	0	0.939566660496	0	0	0	0.926828218297	0	0	0	0	0	0	0.973507139813	0	0.989818717201	0	0.85692391805	0.962955628549	0
0610012g03rik	0.962731769477	0	0	0	0	0	0	0.967458639884	0	0	0	-0.929839648464	0	0	0	0.85680337855	0	-0.957982444181	0	-0.973535179806	0	0	-0.930516082347	0	-0.955025012323	0	-0.970383732027	-0.938423541997
0610031j06rik	0	0	0	0	-0.942455926924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.974715006345	-0.962492003398	-0.959372017661	-0.976429687582
0610037l13rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.852915979663	0	0	0	0	0	0	0	0	0	0	0
0610037p05rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909784793942	0	0	0	0	0	0	0	0	0	0	0	0
0910001l09rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.945974431848	0	0	0	0	-0.878231413799
1110001a16rik	0	0	0	0	0	0	-0.888488039181	0	0	0	0	0	0.887437631571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002b05rik	0	0	-0.942854446111	0	0	0	0	0	-0.91818820593	0	0	0	0	0	0	0.958422482339	0	0	0	0	0	0	0	0	0	0	0	0
1110003e01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942993426292	0	0	0	0	0	0	0	0	0	0	0
1110004e09rik	0	0	0	0	0	0	0	0	0	0	0.98430403506	0	-0.910899499754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909956993228
1110004f10rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967587789349	0	0	0	0	0	0	0	0	0	0	0	0
1110005a03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.904584375498	0.928253167391	0	0	0	0	0	0	0	0	0.864466246787	0	0
1110007c09rik	0	0	0	0.95105665787	0	0	0	0	0	0	0	0	0	0	0	0	0.876576161592	0	0	0	0	-0.898996360891	-0.90848740994	-0.931617253783	-0.977425985548	0	0	-0.967373863434
1110008f13rik	0	0	0	0	0	0	0	0.90746440856	0	0	0	0	0	0	0	0.896637378438	0	0	0	0	0	0	0	0	0	0	0	0
1110008j03rik	0	0	0	0	0	0	-0.945512988579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86966236025	0	0	0	0
1110008l16rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.907412456871	0	0	0	0	-0.891440227366
1110008p14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.943996487135	0	0	0	0	0	0	0	-0.936315585246	0	0	0
1110014n23rik	0	0	0	0	0	0	0	0	0	0	0.949588658955	0	0	0	0.92344019734	0	0	0	0	0	0	0	0	0	0	0	0	0
1110018g07rik	0	0.951568950747	0	0	-0.92180634065	0.952322322624	0	0	0.890558743634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.97787694147
1110018j18rik	0	0.9089022726	0	0.93939446121	-0.913353538955	0.863075737551	0	0.979417880313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110020g09rik	0	0.926023186634	0	0	0	0	0	0.85470685224	0	0	0	0	0.972805427722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110031i02rik	0	0	0	0	0	0	0	0	0	0	0.876537416752	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871345608272	0.960915067007	0.863136007301	0
1110032f04rik	-0.996644048955	-0.986602414187	0	-0.942969806928	0	-0.980981196187	0	0	-0.979030549642	0	0	0	0.979284425866	0	0	0	0.970838050876	0	0	0	0	0	0	0	0	0	0	-0.919016706344
1110034b05rik	0	0	-0.897737879249	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888027414126	0	0	0	0	0	0	0	0	0	0	0
1110038b12rik	0	0	0	0	0	0	0	0	0	0	0	0	-0.920369574109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110038d17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.925454928989	0	0.864117543233	0	0	0	0	0	0	0	0	0	0	0
1110038f14rik	0	0	0	0	0	0	0	0	0	0	0.858512456466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110049f12rik	0	0	0	0	0	0	0	0	-0.965931853219	0	0	-0.906416158904	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.932692206852	0	0
1110057k04rik	0	0	0	0	0	0	0	0	-0.873491132948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110058l19rik	0	0	0	0	0	0	0.920878732958	0	0	0	0	-0.937081161579	0	0	0	0.927340511174	0	0	0	0	0	0	0	0	0	0	0	0
1110059e24rik	0	0	0	0	0	0	0	0.890545828688	0	0	0.912957565791	0	0	0	0	0.934129468033	0	0	0	0	0	0	0	0	0	0	0	0
1110059g10rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.873261325332	0.914701083564	0	0	0	0.962835089049	0	0	0	0	0	0	0
1110067d22rik	0	0	0	0	0	0	0	0.952567706607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190002h23rik	0.998097197887	0.965435298271	-0.965680156891	0.994084954518	-0.986759724393	0	0	0.996719603597	0.920710838654	0	0	0	0.96872860962	0	0	0.966933432061	0.961156146008	0	0	0	0	0	0	0	0	0	0	0
1190002n15rik	0.971909991433	0.955826578099	-0.87735047665	0.988819961341	0	0	0	0.987416537158	0	0	0	0	0	0	0	0	0.953402873145	0	0	0	0	0	0	0	0	0	0	0
1200011i18rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914645118796	0	0	0	0	0	0	0	0	0	0	0
1200014j11rik	0	0	0	0	0	0	0	0	0	0	0.961677048849	0	0	0	0.955843798027	0	0	0	0	0	0	0	0	0	0	0	0	0
1200016b10rik	0	0	-0.911256069552	0	0	0	0	0	0	0	0	-0.925996035783	0	0	0	0	0.872804997223	0	0	0	0	0	0	0	-0.967510198945	0	0	-0.908723375248
1300001i01rik	0	0	0	0	0	-0.983901922331	0	0	-0.957285035605	0	0.955740478456	0.882684931271	0	0	0.920288950402	0	0	0	0	0	0	0	0	0	0	0	0	0
1300010f03rik	0	0	0	0	0	0	0	0	0	0	0.978746303097	0.93476230041	0	0	0.961044216472	0	0	0	0.974058177529	0.974833074317	0	0	0	0	0	0	0	0
1300014i06rik	0	0	0	0	0	0	0	0	-0.958087317651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300018i17rik	0	0	-0.936294610552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.97225572347	0	0	0	0	0	0	0	0	0	-0.882232336686
1300018j18rik	0	0	0	0	0	0	0	0.863885074196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500001m20rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.923043847598	0	0
1500003o03rik	0.862856183461	0.981845890249	0	0.956984618299	0	0	0	0	0.885999767531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.941286587732
1500011b03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.896584271077	0	-0.906788459723	-0.932403804809	0	0	-0.884770274664
1500011h22rik	0	0	0	0	0	0	0	0	-0.910165385462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500011k16rik	0	0	0	0	0	0	0.929996685164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.935969502795	0	0	0	0
1500012f01rik	0	0	-0.921743416568	0	0	0	0	0	0	0	0	0	0	0	0	0.920573079225	0	0	0	0	0	0	0	0	0	0	0	0
1500031l02rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874742239193	0	0	0	0	0	0	0	0	0	0	0	0
1500032l24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936286264093	0	0	0	0	0	0	0	0	-0.928088261512	0	0	0
1600002h07rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.928214109677	0	0	0	0	0
1600002k03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.945817494586	0.90592752993	0	0	0	0	0	0	0	0	0	0	0
1600012h06rik	0	0	-0.913641940998	0	0	0	0	0.966356564452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014c10rik	0.928205812587	0	0	0	0	0	0	0.946876520197	0	-0.958244627856	0	-0.930783509696	0	0	0	0.936854521738	0.949545609133	0	0	0	0.959115584466	0	0	0	0	0	0	-0.894979706984
1700017b05rik	-0.927422314977	0.909806318853	0.948004425522	0	0	0	0	0	0	-0.964159491573	0	0	0	-0.952015143729	0.928339267034	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019e19rik	0	0	0	0	-0.96954998794	0	0	0	0	0	0.899009423606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020i14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909466225262	0	0	0	0	0	0	0	0	0	0	0
