Hybridization REF_at	Iron01	Iron02	Iron03	Iron04	Iron05	Iron06	Iron07	Iron08	Iron09	Iron10	Iron11	Iron12	Iron13	Iron14	Iron15	Iron16	Iron17	Iron18	Iron19	Iron20	Iron21	Iron22	Iron23	Iron24
Composite Element REF_at	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2
GBAA_pXO1_0001_at	6.559183937	6.724698711	6.915321715	6.88478635	6.852938663	6.665580221	6.881913646	6.710912017	7.109734308	6.758777498	6.920914866	6.988011292	6.917261291	6.950367298	7.041281712	7.039408973	8.101916749	8.022850424	7.94111477	8.352814092	7.947167666	7.685725088	8.442319039	8.246121141
GBAA_pXO1_0002_at	4.454024694	4.538936249	4.651047493	4.636423309	4.50101499	4.577617717	4.476227219	4.616597631	4.403852626	4.367404631	4.380521582	4.490409411	4.44688172	4.50441624	4.486732781	4.447408653	4.329727806	4.232073653	4.266718919	4.262813683	4.328504707	4.433226896	4.677909401	4.440735461
GBAA_pXO1_0003_at	5.852245934	5.833561626	6.025351434	6.016655517	6.141131052	6.127559203	5.976980841	5.899482293	5.797139493	5.952237576	5.823093426	5.812251547	5.851214196	5.80656833	5.88317438	5.971446888	5.652524283	5.853190585	5.924389425	5.762442084	5.845904184	5.985157022	5.893469081	5.879490715
GBAA_pXO1_0004_at	5.884840949	5.814539295	5.974326008	6.172274034	6.137888415	6.13324594	6.030823694	5.93931759	5.844263704	5.805063396	5.866067922	5.802839232	5.884328786	5.848326186	5.974442796	5.843139231	5.542861811	5.643447358	5.584539291	5.546993197	5.742654188	5.806982326	5.656256693	5.508102139
GBAA_pXO1_0005_at	11.99849962	11.92364044	12.00686845	12.01049793	11.90677446	11.97372186	11.95899582	12.20107614	12.40970193	12.32590345	12.46454152	12.52922818	12.34614565	12.47178145	12.46037989	12.4778875	12.6799572	12.51044689	12.50449189	12.88589029	12.50005246	12.55466906	12.85529591	13.01660439
GBAA_pXO1_0006_at	11.00398117	10.89700562	11.01260768	11.03441311	10.92191923	11.02576524	10.99721764	11.29695829	11.44673024	11.26560089	11.33223937	11.45682855	11.34764572	11.45847974	11.45676743	11.50851896	11.46321557	11.34002022	11.29698229	11.77887859	11.41496209	11.50268137	11.73477027	11.84902675
GBAA_pXO1_0007_at	6.653927222	6.398851701	7.32944283	7.240012766	7.125437528	7.068123972	7.030643097	7.044167533	6.567488467	5.804861852	5.970013272	6.356681536	6.274026315	6.603448493	6.408031685	6.58387273	6.053176943	6.199185929	6.337047832	6.329811485	6.140207168	6.464201366	7.075096596	6.888128788
GBAA_pXO1_0008_at	7.49535598	7.160881256	8.196912916	8.156165622	8.134656287	7.933214748	7.649270786	7.956386239	7.258874077	6.604308468	6.546433889	6.951517485	7.061494236	7.451510953	7.254547216	7.223008667	6.473613307	6.451526751	6.734841279	6.449832005	6.748605746	6.990271367	7.165321599	6.98062459
GBAA_pXO1_0009_at	7.994070549	8.125852855	7.844651172	7.79909594	8.108866907	8.126406877	7.891449272	7.780947379	8.139977697	8.191777518	8.101637794	7.951267135	8.240838599	8.197835708	8.020774839	8.090812107	7.884422327	8.192338395	7.890721367	7.461534765	8.203553411	8.64413166	7.871055778	7.673143869
